PanellistID,1 - Position 1,2 - Position 2,3 - Position 3,4 - Position 4,5 - Position 5,6 - Position 6,7 - Position 7,8 - Position 8,9 - Position 9,10 - Position 10,11 - Position 11,12 - Position 12,13 - Position 13,14 - Position 14,15 - Position 15
67,7,6,8,5,9,4,10,3,11,2,12,1,13,15,14
68,8,7,9,6,10,5,11,4,12,3,13,2,14,1,15
69,9,8,10,7,11,6,12,5,13,4,14,3,15,2,1
70,10,9,11,8,12,7,13,6,14,5,15,4,1,3,2
71,11,10,12,9,13,8,14,7,15,6,1,5,2,4,3
72,12,11,13,10,14,9,15,8,1,7,2,6,3,5,4
73,13,12,14,11,15,10,1,9,2,8,3,7,4,6,5
74,14,13,15,12,1,11,2,10,3,9,4,8,5,7,6
75,15,14,1,13,2,12,3,11,4,10,5,9,6,8,7
76,1,15,2,14,3,13,4,12,5,11,6,10,7,9,8
77,2,1,3,15,4,14,5,13,6,12,7,11,8,10,9
78,3,2,4,1,5,15,6,14,7,13,8,12,9,11,10
79,4,3,5,2,6,1,7,15,8,14,9,13,10,12,11
80,5,4,6,3,7,2,8,1,9,15,10,14,11,13,12
81,6,5,7,4,8,3,9,2,10,1,11,15,12,14,13
82,7,6,8,5,9,4,10,3,11,2,12,1,13,15,14
83,8,7,9,6,10,5,11,4,12,3,13,2,14,1,15
84,9,8,10,7,11,6,12,5,13,4,14,3,15,2,1
85,10,9,11,8,12,7,13,6,14,5,15,4,1,3,2
86,11,10,12,9,13,8,14,7,15,6,1,5,2,4,3
87,12,11,13,10,14,9,15,8,1,7,2,6,3,5,4
88,13,12,14,11,15,10,1,9,2,8,3,7,4,6,5
89,14,13,15,12,1,11,2,10,3,9,4,8,5,7,6
90,15,14,1,13,2,12,3,11,4,10,5,9,6,8,7
91,1,15,2,14,3,13,4,12,5,11,6,10,7,9,8
92,2,1,3,15,4,14,5,13,6,12,7,11,8,10,9
93,3,2,4,1,5,15,6,14,7,13,8,12,9,11,10
94,4,3,5,2,6,1,7,15,8,14,9,13,10,12,11
95,5,4,6,3,7,2,8,1,9,15,10,14,11,13,12
96,6,5,7,4,8,3,9,2,10,1,11,15,12,14,13
97,7,6,8,5,9,4,10,3,11,2,12,1,13,15,14
98,8,7,9,6,10,5,11,4,12,3,13,2,14,1,15
99,9,8,10,7,11,6,12,5,13,4,14,3,15,2,1
100,10,9,11,8,12,7,13,6,14,5,15,4,1,3,2
101,11,10,12,9,13,8,14,7,15,6,1,5,2,4,3
102,12,11,13,10,14,9,15,8,1,7,2,6,3,5,4
103,13,12,14,11,15,10,1,9,2,8,3,7,4,6,5
104,14,13,15,12,1,11,2,10,3,9,4,8,5,7,6
105,15,14,1,13,2,12,3,11,4,10,5,9,6,8,7
106,1,15,2,14,3,13,4,12,5,11,6,10,7,9,8
107,2,1,3,15,4,14,5,13,6,12,7,11,8,10,9
108,3,2,4,1,5,15,6,14,7,13,8,12,9,11,10
109,4,3,5,2,6,1,7,15,8,14,9,13,10,12,11
110,5,4,6,3,7,2,8,1,9,15,10,14,11,13,12
111,6,5,7,4,8,3,9,2,10,1,11,15,12,14,13
112,7,6,8,5,9,4,10,3,11,2,12,1,13,15,14
113,8,7,9,6,10,5,11,4,12,3,13,2,14,1,15
114,9,8,10,7,11,6,12,5,13,4,14,3,15,2,1
115,10,9,11,8,12,7,13,6,14,5,15,4,1,3,2
116,11,10,12,9,13,8,14,7,15,6,1,5,2,4,3
117,12,11,13,10,14,9,15,8,1,7,2,6,3,5,4
118,13,12,14,11,15,10,1,9,2,8,3,7,4,6,5
119,14,13,15,12,1,11,2,10,3,9,4,8,5,7,6
120,15,14,1,13,2,12,3,11,4,10,5,9,6,8,7
